system:index,date,path,row,sat,.geo
1_2_LE07_106061_20020429,2002-04-29,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20020515,2002-05-15,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20020531,2002-05-31,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20020616,2002-06-16,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20020702,2002-07-02,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20020718,2002-07-18,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20020819,2002-08-19,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20020920,2002-09-20,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20021107,2002-11-07,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20021225,2002-12-25,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20030126,2003-01-26,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20030211,2003-02-11,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20030227,2003-02-27,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20030315,2003-03-15,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20030331,2003-03-31,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20030416,2003-04-16,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20030502,2003-05-02,106.0,61.0,LANDSAT_7,
1_1_LT05_106061_20030713,2003-07-13,106.0,61.0,LANDSAT_5,
1_1_LT05_106061_20030814,2003-08-14,106.0,61.0,LANDSAT_5,
1_2_LE07_106061_20031025,2003-10-25,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20031212,2003-12-12,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20040113,2004-01-13,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20040129,2004-01-29,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20040214,2004-02-14,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20040301,2004-03-01,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20040402,2004-04-02,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20040418,2004-04-18,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20040504,2004-05-04,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20040520,2004-05-20,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20040605,2004-06-05,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20040621,2004-06-21,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20040707,2004-07-07,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20040808,2004-08-08,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20041011,2004-10-11,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20041027,2004-10-27,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20041112,2004-11-12,106.0,61.0,LANDSAT_7,
1_2_LE07_106061_20041214,2004-12-14,106.0,61.0,LANDSAT_7,
